ts,wave,type,bal_before,pnl_net,fees_paid,bal_after,entry,size_units
2025-10-10 12:00:00,3,BOS_RESET_W2,10000.0,-32.19,2.19,9967.81,121844.78,0.022577
2025-10-30 16:00:00,2,BOS_RESET_W2,9967.81,-31.51,1.61,9936.3,108182.42,0.018755
2025-12-14 20:00:00,2,BOS_RESET_W2,9936.3,-31.33,1.52,9904.96,89070.55,0.021561
2026-01-05 12:00:00,2,TP_W2,9904.96,297.94,3.31,10202.91,87004.31,0.045764
2026-01-08 12:00:00,4,BOS_RESET_W2,10202.91,-32.21,1.6,10170.69,90635.13,0.022278
2026-01-20 20:00:00,2,BOS_RESET_W2,10170.69,-31.98,1.46,10138.72,90742.29,0.020338
