ts,wave,type,bal_before,pnl_net,fees_paid,bal_after,entry,size_units
2025-10-27 04:00:00,3,BOS_RESET_W2,9994.84,-31.47,1.48,9963.37,114052.81,0.016128
2025-11-16 20:00:00,2,TP_SHORT_W2,9963.37,301.57,1.46,10264.94,110291.73,0.017885
2025-11-21 04:00:00,4,TP_SHORT_W4,10264.94,310.22,1.97,10575.16,95675.61,0.027388
2025-12-03 04:00:00,6,BOS_RESET_W2,10575.16,-32.36,0.64,10542.8,89510.5,0.008717
2026-01-02 16:00:00,2,BOS_RESET_W2,10542.8,-34.16,2.53,10508.64,89714.81,0.03503
2026-01-31 16:00:00,2,TP_SHORT_W2,10508.64,318.22,1.38,10826.87,90922.07,0.020768
2026-02-05 20:00:00,4,TP_SHORT_W4,10826.87,327.97,1.31,11154.84,77992.68,0.023132
2026-03-16 00:00:00,6,BOS_RESET_W2,11153.06,-33.92,0.46,11119.14,70032.38,0.008006
